,speciesName,monthlySightings,monthIndex
0,Eptesicus fuscus,2,301
1,Eptesicus fuscus,1,317
2,Eptesicus fuscus,2,318
3,Eptesicus fuscus,1,319
4,Eptesicus fuscus,2,320
5,Eptesicus fuscus,2,328
6,Eptesicus fuscus,1,329
7,Eptesicus fuscus,3,331
8,Eptesicus fuscus,1,332
9,Eptesicus fuscus,1,333
10,Eptesicus fuscus,1,337
11,Eptesicus fuscus,1,339
12,Eptesicus fuscus,2,340
13,Eptesicus fuscus,3,342
14,Eptesicus fuscus,5,343
15,Eptesicus fuscus,1,344
16,Eptesicus fuscus,1,346
17,Eptesicus fuscus,1,349
18,Eptesicus fuscus,1,350
19,Rhogeessa minutilla Miller,1,351
20,Eptesicus fuscus,2,353
21,Eptesicus fuscus,1,354
22,Eptesicus fuscus,4,355
23,Eptesicus fuscus,1,356
24,Eptesicus fuscus,1,360
25,Eptesicus fuscus,1,363
26,Eptesicus fuscus,3,364
27,Eptesicus fuscus,1,366
28,Eptesicus fuscus,1,367
29,Eptesicus fuscus,1,369
30,Eptesicus fuscus,2,371
31,Eptesicus fuscus,3,376
32,Eptesicus fuscus,1,377
33,Eptesicus fuscus,5,378
34,Eptesicus fuscus,1,379
35,Eptesicus fuscus,2,380
36,Eptesicus fuscus,2,381
37,Eptesicus fuscus,1,382
38,Eptesicus fuscus,1,384
39,Eptesicus fuscus,2,386
40,Eptesicus fuscus,2,387
41,Eptesicus fuscus,3,388
42,Eptesicus fuscus,6,389
43,Eptesicus fuscus,10,390
44,Eptesicus fuscus,3,391
45,Eptesicus fuscus,4,392
46,Eptesicus fuscus,2,394
47,Eptesicus fuscus,1,401
48,Eptesicus fuscus,10,402
49,Eptesicus fuscus,12,403
50,Eptesicus fuscus,3,404
51,Eptesicus fuscus,2,405
52,Rhogeessa minutilla Miller,1,410
53,Rhogeessa minutilla Miller,1,411
54,Rhogeessa minutilla Miller,1,412
55,Eptesicus fuscus,5,456
56,Eptesicus fuscus,2,457
57,Eptesicus fuscus,6,458
58,Eptesicus fuscus,3,459
59,Eptesicus fuscus,2,470
60,Eptesicus fuscus,20,471
61,Eptesicus fuscus,29,472
62,Eptesicus fuscus,30,473
63,Eptesicus fuscus,62,474
64,Eptesicus fuscus,58,475
65,Eptesicus fuscus,29,476
66,Eptesicus fuscus,17,477
67,Eptesicus fuscus,21,478
68,Eptesicus fuscus,16,479
69,Eptesicus fuscus,5,494
70,Eptesicus fuscus,47,495
71,Eptesicus fuscus,53,496
72,Eptesicus fuscus,72,497
73,Eptesicus fuscus,111,498
74,Eptesicus fuscus,12,499
75,Eptesicus fuscus,26,504
76,Eptesicus fuscus,20,505
77,Eptesicus fuscus,29,506
78,Eptesicus fuscus,39,507
79,Rhogeessa minutilla Miller,1,510
80,Eptesicus fuscus,38,523
81,Eptesicus fuscus,53,524
82,Eptesicus fuscus,31,525
83,Eptesicus fuscus,33,526
84,Eptesicus fuscus,31,527
85,Eptesicus fuscus,24,528
86,Eptesicus fuscus,16,529
87,Eptesicus fuscus,26,530
88,Eptesicus fuscus,48,531
89,Eptesicus fuscus,65,532
90,Eptesicus fuscus,60,533
91,Eptesicus fuscus,61,534
92,Rhogeessa minutilla Miller,1,535
